timestamp,traffic
2025-03-21 00:00:00,120
2025-03-21 01:00:00,105
2025-03-21 02:00:00,98
2025-03-21 03:00:00,95
2025-03-21 04:00:00,90
2025-03-21 05:00:00,100
2025-03-21 06:00:00,140
2025-03-21 07:00:00,180
2025-03-21 08:00:00,250
2025-03-21 09:00:00,310
2025-03-21 10:00:00,320
2025-03-21 11:00:00,290
2025-03-21 12:00:00,280
2025-03-21 13:00:00,270
2025-03-21 14:00:00,260
2025-03-21 15:00:00,275
2025-03-21 16:00:00,300
2025-03-21 17:00:00,330
2025-03-21 18:00:00,350
2025-03-21 19:00:00,370
2025-03-21 20:00:00,340
2025-03-21 21:00:00,280
2025-03-21 22:00:00,200
2025-03-21 23:00:00,150
